,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year_data_collected,Grouped_Sector
0,Unbox Robotics,2019,Bangalore,AI startup,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.","Pramod Ghadge, Shahid Memon",BEENEXTEntrepreneurFirst,1200000,Pre-seriesA,2021,
1,upGrad,2015,Mumbai,EdTech,UpGrad is an online higher education platform.,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala",UnilazerVenturesIIFLAssetManagement,120000000,N/A,2021,Education
2,Lead School,2012,Mumbai,EdTech,LEAD School offers technology based school transformation system that assures excellent learning for every child.,"Smita Deorah, Sumeet Mehta",GSVVenturesWestbridgeCapital,30000000,SeriesD,2021,Education
3,Bizongo,2015,Mumbai,B2B E-commerce,Bizongo is a business-to-business online marketplace for packaging products.,"Aniket Deb, Ankit Tomar, Sachin Agrawal",CDCGroupIDGCapital,51000000,SeriesC,2021,
4,FypMoney,2021,Gurugram,FinTech,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",Kapil Banwari,LiberathaKallatMukeshYadavDineshNagpal,2000000,Seed,2021,Finance
5,Urban Company,2014,New Delhi,Home services,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia","Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan",VyCapital,188000000,N/A,2021,
6,Comofi Medtech,2018,Bangalore,HealthTech,Comofi Medtech is a healthcare robotics startup.,Gururaj KB,CIIE.COKIIT-TBI,200000,N/A,2021,
7,Taikee,2010,Mumbai,E-commerce,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.","Nidhi Ramachandran, Sachin Chhabra",N/A,1000000,N/A,2021,Retail
8,Fitterfly,2016,Mumbai,HealthTech,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",Dr Arbinder Singal,9UnicornsAcceleratorFundMetaformVentures,3000000,Pre-seriesA,2021,
9,FreeStand,2017,New Delhi,B2B service,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,"Konark Sharma, Sneh Soni",SucSEEDIndovationIIMCalcuttaInnovationPark,100000,N/A,2021,
10,MyDentalPlan,2014,Bangalore,Helathcare,My Dental Plan provides dental care packages and services.,"Dr Mohender Narula, Dr AnandKrishna, Dr Girish Rao",SafePlanetMedicare,700000,Seed,2021,
11,Freyr Energy,2014,Hyderabad,Renewable Energy,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.","Radhika Choudary, Saurabh Marda",ImpactPartnersC4DPartners,2000000,N/A,2021,
12,DealShare,2018,Jaipur,E-commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao",TigerGlobalManagementInnoVenCapital,9000000,N/A,2021,Retail
13,Tessolve,1993,Bangalore,Electronics,"Tessolve Semiconductor offers engineering in semiconductor design, test/product engineering, failure analysis, systems design.","P Raja Manickam, Srinivas Chinamilli, Veerappan V",NovoTellusCapital,40000000,N/A,2021,
14,Smart Joules,2014,New Delhi,Renewable Energy,Smart Joules is an energy management company.,"Arjun P Gupta, Ujjal Majumdar, Sidhartha Gupta",RaintreeFamilyOfficeADBarm,49000000,N/A,2021,
15,ORAI,2020,Bangalore,IT startup,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,"Swapnil Jain, Sujit Das Biswas",InflectionPointVentures,400000,Pre-seriesA,2021,
16,ixamBee,2016,New Delhi,EdTech,ixamBee is to provide best online learning experience for preparation of competitive exams.,Chandraprakash Joshi,MumbaiAngelsNarendraShyamsukha,300000,Seed,2021,Education
17,CoinSwitch Kuber,2017,Bangalore,FinTech,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari",ParadigmKunalShah,25000000,SeriesB,2021,Finance
18,Razorpay,2014,Bangalore,FinTech,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.","Harshil Mathur, Shashank Kumar",MatrixPartnersIndiaGIC,160000000,SeriesE,2021,Finance
19,ZFW Hospitality,2015,New Delhi,Food & Beverages,Creating a sustainable and scalable cloud kitchen network.,Madhav Kasturia,MumbaiAngelsNetworkExpertDOJO,150000,Pre-seed,2021,
20,Optimized Electrotech,2017,Ahmadabad,Aeorspace,"Long distance, multispectral Surveillance Equipment for Defense, Aerospace, Critical Asset Protection","Anil Yekkala, Dharin Shah, Kuldeep Saxena, Purvi Shah, Sandeep Shah",GVFL,1800000,Pre-seriesA,2021,
21,Northern Arc,2008,Chennai,FinTech,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,Kshama Fernandes,KotakMahindraBankFMO,5000000,N/A,2021,Finance
22,Chara,2019,Bangalore,Deep Tech,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.","Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",KalaariCapital,850000,Seed,2021,
23,Sirona Hygiene,2015,New Delhi,HealthTech,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,"Deep Bajaj, Mohit Bajaj",NBVenturesIANFund,3000000,SeriesA,2021,
24,Pristyn Care,2018,Gurugram,HealthTech,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,Harsimarbir (Harsh) Singh,SequoiaCapitalIndiaHummingbirdVentures,53000000,SeriesD,2021,
25,TrulyMadly,2013,New Delhi,Dating,Trulymadly is a dating platform that uses a match making algorithm.,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia",GauravMunjalSnehilKhanor,2000000,Pre-seriesA,2021,
26,Vidyakul,2018,N/A,EdTech,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,"Raman Garg, Tarun Saini",JITOAngelNetworkSOSV,500000,Seed,2021,Education
27,Jambox Games,2021,Bangalore,Gaming,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",Ravi Vyas,N/A,1100000,Seed,2021,
28,Miko,2015,Mumbai,Robotics,"Miko is an advanced robotics startup focusing on robotics, AI & IoT.","Chintan Raikar, Prashant Iyengar, Sneh Vaswani",ChirataeVenturesYourNestVentureCapital,6000000,N/A,2021,
29,SuperK,2019,"Small Towns, Andhra Pradesh",Retail,SuperK is a full-stack solution to empower small format retail stores in India.,Neeraj Menta,STRIVEVC,800000,Seed,2021,
30,TagZ Foods,2019,Bangalore,Food,TagZ Foods is a supplier of snacks and food products.,"Anish Basu Roy, Sagar Bhalotia",VentureCatalysts,500000,Pre-seriesA,2021,
31,Fuel Buddy,2017,New Delhi,Oil and Energy,FuelBuddy is the FIRST legal private company in India to have permissions in place to deliver fuel. FUELDELIVERY APP.,Aditya Singh,JaipuriaFamilyOffice,1000000,N/A,2021,
32,M1xchange,2017,Gurugram,FinTech,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,Amazon,10000000,N/A,2021,Finance
33,Spintly,2017,Goa,Tech Startup,Wireless cloud based access control platform,Rohin Parkar,RisoCapital,500000,N/A,2021,
34,EF Polymer,2018,Rajsamand,AgriTech,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,Narayan Lal Gurjar,MTGVentures,200000,N/A,2021,
35,boAt,2016,New Delhi,Electronics,boAt is a consumer electronics and lifestyle company.,"Aman Gupta, Sameer Mehta",QualcommVenturesWarburgPincus,6000000,N/A,2021,
36,iBus,2010,Bangalore,Telecommuncation,iBus Networks is an in-building connectivity solutions company,"Ram Sellaratnam, Sunil Menon and Subash Vasudevan",MorganStanley,21000000,N/A,2021,
